,corporate_number,name,subsidy_title,amount,date_of_approval
0,1000020042021,石巻市,循環型社会形成推進交付金,49000,2024-08-27
273,1000020042021,石巻市,介護扶助費等国庫負担金,42528000,2017-01-13
272,1000020042021,石巻市,母子家庭等対策費補助金（母子家庭等対策総合支援事業）,7509000,2017-01-25
271,1000020042021,石巻市,生活困窮者自立相談支援事業費等国庫負担金（被保護者就労支援事業）,2912100,2017-01-31
270,1000020042021,石巻市,生活困窮者自立相談支援事業費等国庫負担金（生活困窮者住居確保給付金）,630000,2017-01-31
269,1000020042021,石巻市,生活困窮者自立相談支援事業費等国庫負担金（生活困窮者自立相談支援事業）,3255000,2017-01-31
268,1000020042021,石巻市,特別障害者手当等給付費負担金,43147635,2017-02-17
267,1000020042021,石巻市,【平成２８年度補正予算】地域介護・福祉空間整備等施設整備交付金,2099000,2017-02-17
266,1000020042021,石巻市,母子保健衛生費国庫補助金,644000,2017-02-21
265,1000020042021,石巻市,平成２８年度国民健康保険制度関係業務準備事業費補助金,6738000,2017-02-22
264,1000020042021,石巻市,平成２８年度年金生活者等支援臨時福祉給付金（障害・遺族基礎年金受給者向け給付金）給付事業費補助金,36510000,2017-02-27
263,1000020042021,石巻市,障害児入所給付費等国庫負担金,60871253,2017-02-27
262,1000020042021,石巻市,平成２８年度（平成２７年度からの繰越分）保育対策総合支援事業費補助金（保育所等における業務効率化推進事業及び保育士修学資金貸付等事業分）,1725000,2017-02-28
261,1000020042021,石巻市,平成２８年度臨時福祉給付金等給付事務費補助金,115188000,2017-03-02
260,1000020042021,石巻市,介護保険災害臨時特例補助金,342000,2017-03-03
259,1000020042021,石巻市,平成２８年度臨時福祉給付金等給付事業費補助金,485910000,2017-03-08
258,1000020042021,石巻市,事務取扱交付金,484685,2017-03-09
257,1000020042021,石巻市,障害者医療費国庫負担金,127345877,2017-03-10
256,1000020042021,石巻市,国民健康保険後期高齢者医療費支援金負担金,700514790,2017-03-13
255,1000020042021,石巻市,国民健康保険介護納付金負担金,255996669,2017-03-13
254,1000020042021,石巻市,国民健康保険療養給付費等負担金,2393077208,2017-03-13
253,1000020042021,石巻市,低所得者保険料軽減負担金,12754560,2017-03-15
274,1000020042021,石巻市,生活扶助費等国庫負担金,730424000,2017-01-13
252,1000020042021,石巻市,介護給付費負担金,2256968707,2017-03-15
275,1000020042021,石巻市,医療扶助費等国庫負担金,969574000,2017-01-13
277,1000020042021,石巻市,国民健康保険（組合）災害臨時特例補助金,138000,2017-01-05
298,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2053000,2016-05-30
297,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2934000,2016-05-30
296,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1362000,2016-05-30
295,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1672000,2016-05-30
294,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1155000,2016-05-30
293,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2066000,2016-05-30
292,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2417000,2016-05-30
291,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,183000,2016-05-30
290,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,163000,2016-06-23
289,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,497000,2016-06-23
288,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,122000,2016-06-23
287,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,59000,2016-06-23
286,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,38000,2016-06-23
285,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,267000,2016-06-23
284,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,80000,2016-06-23
283,1000020042021,石巻市,循環型社会形成推進交付金,3598000,2016-07-15
282,1000020042021,石巻市,循環型社会形成推進交付金,12218000,2016-07-15
281,1000020042021,石巻市,緊急スクールカウンセラー等活用事業交付金,48445000,2016-08-16
280,1000020042021,石巻市,情報通信基盤災害復旧事業,2038000,2016-08-23
279,1000020042021,石巻市,情報通信基盤災害復旧事業,10592000,2016-08-23
278,1000020042021,石巻市,国民健康保険（組合）災害臨時特例補助金,8000,2017-01-05
276,1000020042021,石巻市,未熟児養育医療費等国庫負担金,4932000,2017-01-10
